PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
A4D1P6	A4D1P6	WDR91	WD repeat-containing protein 91	47780.5	17559.0293	22889.70508	34292.22266	22025.39648	22865.48242	16744.07617	18032.17969	36516.11719	24555.71875	18349.375
A4D1S5	A4D1S5	RAB19	Ras-related protein Rab-19	49117.75391	829850.25	3395420.5	57469.98438	46998.98047	34940.14844	9238.255859	10926.56152	6671.07959	10624.16016	12324.68848
A5PKW4	A5PKW4	PSD	PH and SEC7 domain-containing protein 1	2840.486572	Filtered	Filtered	1867.14917	2616.924805	3551.912842	20992.58203	24549.12109	26719.75977	22337.23633	22447.91797
A5PLN9	A5PLN9	TRAPPC13	Trafficking protein particle complex subunit 13	12780.13477	11880.77637	10661.66309	12688.72168	11809.65332	11406.67773	9903.59668	10315.00781	10973.74609	9289.072266	10723.30957
A5YKK6	A5YKK6	CNOT1	CCR4-NOT transcription complex subunit 1	48038.43359	47553.79297	46021.07031	47742.84375	47554.34766	48011.32813	114963.3359	126542.2188	134100.0625	134091.0781	143369.7031
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	36851.69141	41401.53125	40720.28906	42913.26563	37397	37622.82813	22823.79297	25053.84961	27192.77734	27067.94141	23112.58398
A6NDB9	A6NDB9	PALM3	Paralemmin-3	10439.375	14098.33789	14601.89063	17068.11914	13676.34766	20282.75977	10936.02051	11464.51074	15296.9873	5481.594238	9833.277344
A6NDG6	A6NDG6	PGP	Glycerol-3-phosphate phosphatase	90844.01563	87466.64844	89643.375	91057.53125	93604.65625	101188.1406	63631.79688	68596.73438	52571.65234	70574	73499.92188
A6NDU8	A6NDU8	C5orf51	UPF0600 protein C5orf51	3155.974121	3808.26123	4908.597656	5360.541992	3559.011719	4576.571289	26893.16211	4814.071777	2735.518799	34705.0625	25504.92383
A6NE02	A6NE02	BTBD17	BTB/POZ domain-containing protein 17	5766.883789	7430.666504	3222.568115	4890.367188	4386.976563	5403.353027	49828.76563	37008.96484	33951.35156	39528.00781	46067.73438
A6NF01;A8CG34	A6NF01;A8CG34	POM121B;POM121C	Putative nuclear envelope pore membrane protein POM 121B;Nuclear envelope pore membrane protein POM 121C	Filtered	Filtered	Filtered	Filtered	Filtered	2270.559326	3135.206299	1617.431763	3446.644531	3718.803955	3491.611084
A6NFI3	A6NFI3	ZNF316	Zinc finger protein 316	Filtered	Filtered	Filtered	Filtered	Filtered	399.6422729	34817.02734	23527.76172	40404.74219	35355.46484	45260.99609
A6NFN3	A6NFN3	RBFOX3	RNA binding protein fox-1 homolog 3	1	1	1	1	1	1	40259.89453	42454.58984	35058.375	42581.29297	49431.43359
A6NGE7	A6NGE7	URAD	Putative 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	Filtered	Filtered	5869.388672	Filtered	Filtered	2298.009277	1932.362915	778.8010254	489.8028564	Filtered	711.109375
A6NGN9	A6NGN9	IGLON5	IgLON family member 5	97866.00781	100744.7109	107606.1484	99504.61719	112155.1094	115587.0781	75121.14063	79688.92188	70013.80469	76629.78906	77141.60938
A6NHL2	A6NHL2	TUBAL3	Tubulin alpha chain-like 3	2748134.5	3807889.5	4542448	4408287.5	4630981	5031228.5	1503354.75	2142255.25	3013768.75	2991144.5	3312682.5
A6NHQ2	A6NHQ2	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	16710.87695	12112.81738	2701.306396	4505.499512	3359.535645	1379.546875	183634.25	172161.5625	161741.8906	162771.2969	164732.5
A6NHR9	A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1	1	1	1	1	1	45240.11719	41995.92969	48577.30078	50442.23828	50485.49219
A6NHS7	A6NHS7	MANSC4	MANSC domain-containing protein 4	83660.89844	83791.46875	70938.21094	85045.57031	89910.1875	83586.02344	291338.9063	214326.9688	263268.5	288686.8125	286071.75
A6NJ78	A6NJ78	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2334.750977	3436.885742	4222.972168	3544.606445	2034.267578	4802.092773	16408.14453	6275.057129	14698.69629	14997.17676	14939.94434
A6NK58	A6NK58	LIPT2	"Putative lipoyltransferase 2, mitochondrial"	5212.802734	3862.22876	5392.800781	4042.768066	4798.09082	4566.392578	10758.38965	8276.647461	9829.104492	8425.879883	9282.435547
A6NKD9	A6NKD9	CCDC85C	Coiled-coil domain-containing protein 85C	Filtered	Filtered	1742.817261	1823.286621	Filtered	Filtered	840.5010376	1.340270519	1656.900024	Filtered	747.2384033
A6NL88	A6NL88	SHISA7	Protein shisa-7	Filtered	Filtered	Filtered	Filtered	464.6836548	Filtered	Filtered	Filtered	5293.648926	Filtered	2069.924072
A6NMB9	A6NMB9	FIGNL2	Fidgetin-like protein 2	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	3028.682129	Filtered	6988.183105	3275.057129	7811.654297
A6NMK8	A6NMK8	INSYN2B	Protein INSYN2B	15087.78613	14088.65137	15038.24609	13724.36035	12944.28906	12890.59082	25505.89258	22002.64844	28833.79297	25488.64844	23740.26172
A6NNE9	A6NNE9	MARCHF11	E3 ubiquitin-protein ligase MARCHF11	26912.72852	24598.02539	24774.58789	25578.74023	25414.5293	22569.37305	10448.84766	9485.873047	14403.30176	9352.640625	8139.307129
A6NNY8	A6NNY8	USP27X	Ubiquitin carboxyl-terminal hydrolase 27	4800.941406	6657.744629	4931.870117	4364.287598	5864.951172	4582.994141	1836.888428	2561.353027	1147.60022	1592.458252	2578.968018
A6ZKI3	A6ZKI3	RTL8C	Retrotransposon Gag-like protein 8C	13229.30371	16984.28516	14923.96191	13044.11328	15951.24805	16670.7207	37511.54297	41900.87109	43490.88281	43497.72656	42818.12891
A7E2V4	A7E2V4	ZSWIM8	Zinc finger SWIM domain-containing protein 8	4425.931152	3883.682129	2233.413574	2419.298096	2314.435547	4089.09375	2894.890137	3128.615723	4251.376953	4239.385742	3325.750244
A7KAX9	A7KAX9	ARHGAP32	Rho GTPase-activating protein 32	23958.60156	24925.5957	22728.66406	23419.95898	23554.21094	24035.78711	40079.52344	37144.70703	42337.70703	41211.06641	37105.71094
A7MBM2	A7MBM2	DISP2	Protein dispatched homolog 2	48203.98828	43834.84766	43524.44141	41792.71484	42814.37109	43641.125	30910.01563	29353.54492	26331.04102	25636.20313	27683.30859
A7MD48	A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4	1	1	1	1	1	1	14922.98145	12383.08789	15304.76465	16073.40332	13226.61914
A8K855	A8K855	EFCAB7	EF-hand calcium-binding domain-containing protein 7	14699.79297	8550.703125	8913.806641	8865.151367	9383.262695	8311.712891	7232.356445	8659.730469	8952.174805	6647.91748	8158.498047
A8MVW0	A8MVW0	FAM171A2	Protein FAM171A2	138015.8438	119969.375	139303.2344	133466.2969	130110.0313	128753.5078	74194.63281	76939.01563	80558.96875	69038.20313	62560.32422
A8MW92	A8MW92	PHF20L1	PHD finger protein 20-like protein 1	1	1	1	1	1	1	6852.830078	3640.476563	11220.2002	9347.546875	8987.378906
A8MWD9;P62308	A8MWD9;P62308	SNRPGP15;SNRPG	Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G	24920.70703	26880.37305	21360.86719	11812.80762	26829.75977	15715.78809	217553.9219	230291.1719	183336.5625	248523.5313	299789.875
A8MWY0	A8MWY0	ELAPOR2	Endosome/lysosome-associated apoptosis and autophagy regulator family member 2	20859.82813	21516.90234	18820.52148	19222.13477	20555.29883	21777.625	77038.9375	77763.10938	89696.21875	82339.42969	83767.57031
A8MXV4	A8MXV4	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	18453.01953	17835.26953	18495.7793	20443.92383	27806.77344	20082.84375	25571.52734	25956.07422	22306.9707	25900.82813	28857.63086
A9UHW6	A9UHW6	MIF4GD	MIF4G domain-containing protein	16257.80371	3386.974121	5750.56543	4223.750488	18943.74023	4099.331543	4626.150879	9721.44043	4322.111816	3954.837402	5869.03418
B2RTY4	B2RTY4	MYO9A	Unconventional myosin-IXa	8209.294922	8039.734375	10764.90039	12798.44824	8247.097656	7804.576172	7595.736328	12674.56738	7074.208008	12818.33203	14648.79297
B5ME19;Q99613	B5ME19;Q99613	EIF3CL;EIF3C	Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C	16151.76758	21282.48242	12717.98047	15562.02832	12002.29102	11463.64063	175218.5625	195316.125	135142.3125	204377.9531	138204.0469
B7ZAP0	B7ZAP0	RABGAP1L	"Rab GTPase-activating protein 1-like, isoform 10"	33595.35938	28940.53125	28982.67188	31452.66406	29637.41992	30109.09961	25105.25977	20089.73242	21879.2832	21516.26563	20059.91797
B7ZAQ6;P0CG08	B7ZAQ6;P0CG08	GPR89A;GPR89B	Golgi pH regulator A;Golgi pH regulator B	8195.344727	7400.798828	10058.88867	6856.862793	9980.193359	6937.744141	12474.17871	14354.73828	4735.633301	9633.060547	10790.50586
C9J069	C9J069	AJM1	Apical junction component 1 homolog	8544.21875	9370.577148	8556.491211	8913.540039	8292.311523	8491.449219	4132.12207	4801.993164	5344.02002	4493.424316	5002.054199
C9J798;O43374	C9J798;O43374	RASA4B;RASA4	Ras GTPase-activating protein 4B;Ras GTPase-activating protein 4	3296.466797	22045.28711	28504.05078	767.8867798	Filtered	469.6352234	4233.566895	4726.855469	6142.61084	3635.269287	6941.862305
C9JVW0	C9JVW0	INAFM1	Putative transmembrane protein INAFM1	1	1	1	1	1	1	5462.87207	3333.097656	6070.685547	5200.074707	5332.414551
E9PAV3;Q13765	E9PAV3;Q13765	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha"	101181.8125	120113.8125	117329.9688	100679.1172	172996.6094	176476.5781	385569.3125	456229.0625	310770.3438	390875.625	431680.4063
E9PRG8	E9PRG8	C11orf98	Uncharacterized protein C11orf98	1	1	1	1	1	1	31833.30078	27173.38086	33176.67188	20361.74414	24271.38867
G9CGD6;Q8WWN9	G9CGD6;Q8WWN9	CNK3/IPCEF1;IPCEF1	CNK3/IPCEF1 fusion protein;Interactor protein for cytohesin exchange factors 1	11270.47852	9396.1875	11230.40527	12583.58887	9634.535156	10608.38867	8036.333008	6969.775391	9148.325195	10201.80176	10662.11426
H3BS89	H3BS89	TMEM178B	Transmembrane protein 178B	16575.51953	18484.45508	18114.36523	16499.7793	17826.91016	14092.83594	7250.368652	10239.86621	7432.836914	5973.094238	4705.463867
O00116	O00116	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	112211.4766	116917.6953	115684.0078	119458.7578	117357.8594	109926.0703	313996.4375	310223.125	292425.3125	332455.5	292634.2813
O00124	O00124	UBXN8	UBX domain-containing protein 8	1033.777954	Filtered	2138.175049	2537.547607	Filtered	1203.667969	2774.377197	1809.503662	4933.098633	4582.877441	5202.679688
O00139	O00139	KIF2A	Kinesin-like protein KIF2A	206966.1563	197917.3281	212488.0156	212004.125	193818.5156	198355.5313	126985.8203	124962.1172	133783.7656	126766.4297	113784.3125
O00148	O00148	DDX39A	ATP-dependent RNA helicase DDX39A	1	1	1	1	1	1	32829.04688	33890.0625	36872.08594	36893.64063	47740.0625
O00154	O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1343230.625	1297900.375	1305812.375	1299273.25	1332854	1301355.75	832239.5	922603.875	825865	861141.875	809570.375
O00159	O00159	MYO1C	Unconventional myosin-Ic	84802.58594	87322.25	87649.71875	90953.04688	90323.02344	93585.82813	77699.55469	77060.23438	66050.03125	71576.16406	80475.92969
O00165	O00165	HAX1	HCLS1-associated protein X-1	49481.06641	53437.82422	48749.67578	45212.85547	45685.67188	41093.41406	73893.47656	75485.19531	62398.08203	64104.15625	73358.77344
O00170	O00170	AIP	AH receptor-interacting protein	49322.91797	53744.63281	58042.21094	55939.17969	60344.94531	72031.02344	72663.85938	89254.64844	80664.77344	87318.33594	88259.83594
O00178	O00178	GTPBP1	GTP-binding protein 1	108057.1719	107936.9297	104980.375	106418.75	101759.6563	103696.0391	137252.6094	154354.6875	143232.75	168648.1406	172190.1094
O00186	O00186	STXBP3	Syntaxin-binding protein 3	12644.75	13243.50781	13238.70313	11578.86816	18449.32031	11669.69043	12525.47363	11638.4375	12891.99219	11771.10254	12439.88965
O00189	O00189	AP4M1	AP-4 complex subunit mu-1	9257.989258	9735.222656	9327.874023	10652.70801	9365.225586	9065.766602	8517.129883	8561.129883	8701.373047	8835.287109	8685.359375
O00192	O00192	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome	144986.2813	136571.7031	125015.0859	125531.4297	131237.8281	130889.2813	109626.5938	106414.5469	92912.90625	98561.46875	105283.2578
O00193	O00193	SMAP	Small acidic protein	1	1	1	1	1	1	32526.47852	41004.59375	48113.67188	28902.93359	38362.375
O00194	O00194	RAB27B	Ras-related protein Rab-27B	8111.458984	8801.331055	9457.686523	7812.603027	9697.810547	8955.513672	22829.49609	845.8109741	1373.40979	1619.287842	1298.780518
O00203	O00203	AP3B1	AP-3 complex subunit beta-1	53305.81641	56197.71094	51876.01563	53539.57813	52716.49219	50518.28516	34072.54297	33168.64063	32043.36328	33164.125	31152.16797
O00213	O00213	APBB1	Amyloid-beta A4 precursor protein-binding family B member 1	99844.54688	90908.86719	88736.48438	92061.74219	90558.69531	89628.72656	56984.16406	55418.19531	56937.07813	56822.76172	53134.24219
O00214	O00214	LGALS8	Galectin-8	10416.21582	11630.43555	12570.89355	11001.53418	13331.58008	13637.96875	20751.86133	20709.83203	22958.86328	19157.60938	20742.47852
O00217	O00217	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	42902.86719	34699.80078	48218.6875	35935.41797	40798.73438	49123.47656	77143.10156	67550.58594	76521.26563	74938.32031	86310.21875
O00222	O00222	GRM8	Metabotropic glutamate receptor 8	8037.47168	15564.58008	10116.35449	7406.431152	9306.925781	16150.64551	6491.789063	3606.713623	4981.710449	3591.075195	4222.496582
O00231	O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11	160434.0469	154167.6563	150148.4219	165852.7969	157453.0469	161193.0625	252456.9688	261541.3281	254675.0469	259230.875	278774.125
O00232	O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12	200213.4219	203692.5156	191311.5	194647	190222.8281	188934.0313	259608.2656	281018.3438	254323.8906	280154.6563	284843.875
O00233	O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9	164732.4688	148396.9844	155108.8281	162160.7344	163877.7188	165116.1719	127710.2109	132906.875	139822.25	138792.4844	135719.3594
O00255	O00255	MEN1	Menin	1	1	1	1	1	1	3787.479736	4760.880371	8220.203125	7377.789063	7389.306641
O00257	O00257	CBX4	E3 SUMO-protein ligase CBX4	Filtered	810.1229858	24151.05859	2106.304688	1942.277832	5427.998535	9201.00293	19065.65039	12360.24609	13102.85352	11754.50391
O00258	O00258	GET1	Guided entry of tail-anchored proteins factor 1	52228.63672	53140.90234	55269.25781	51359.01953	52249.78125	49944.26172	54544.22266	50551.53516	53800.03125	54287.71094	52551.07813
O00264	O00264	PGRMC1	Membrane-associated progesterone receptor component 1	7966.383789	11331.2666	9009.004883	16800.99023	3126.488037	19327.38672	75125.38281	64932.19531	53153.65625	43098.91406	75609.84375
O00267	O00267	SUPT5H	Transcription elongation factor SPT5	4286.768555	3577.518311	23126.9082	995.7698364	Filtered	9271.214844	31845.55664	32115.4043	34959.17969	31715.49414	37488.01563
O00268	O00268	TAF4	Transcription initiation factor TFIID subunit 4	Filtered	Filtered	2207.737305	1652.224243	Filtered	Filtered	7369.671875	7409.633789	10609.39941	8558.160156	10017.78906
O00273	O00273	DFFA	DNA fragmentation factor subunit alpha	66041.72656	62880.71094	57180.42188	68625.28906	64648.91406	64906.3125	49435.34766	51585.88281	58813.29688	47440.57813	53957.48047
O00287	O00287	RFXAP	Regulatory factor X-associated protein	Filtered	Filtered	1860.746338	1564.973511	Filtered	Filtered	3291.875488	Filtered	519.1049805	703.154541	4707.35791
O00291	O00291	HIP1	Huntingtin-interacting protein 1	52603.66016	48373.31641	51186.83203	50177.66016	49741.87891	47263.21875	44745.74609	49221.41406	54326.58984	49234.57422	44519.44922
O00299	O00299	CLIC1	Chloride intracellular channel protein 1	167014.2969	151879.7813	144308.9375	147865.2188	163379.7188	173505.2188	148299.2344	139842.8281	130399.2969	153915.2969	153149.1875
O00303	O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F	9054.663086	7205.898438	5796.868652	5736.378418	12159.34863	8097.616699	102538.3906	114923.5547	106118.5547	121194.2656	134183.3438
O00305	O00305	CACNB4	Voltage-dependent L-type calcium channel subunit beta-4	2527.908691	2926.445068	3753.057129	2281.097412	3146.571289	3080.406982	5280.290039	3894.077393	5826.243164	3346.425781	6157.893555
O00308	O00308	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	40937.61328	35677.05859	39517.07031	37465.54688	36433.88672	37537.77734	18583.96289	18028.01563	18448.22656	19992.85352	19316.86523
O00329	O00329	PIK3CD	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	8787.669922	8919.412109	10376.54199	7892.615234	7388.858398	11857.97852	7010.500488	7252.631348	8182.845215	8068.397461	8129.158203
O00330	O00330	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"	23360.19141	22791.05469	22184.07031	24144.18164	23785.53125	21865.32031	59262.21094	50971.04297	55831.56641	50054.23438	53972.17188
O00399	O00399	DCTN6	Dynactin subunit 6	183417.9063	179758.5469	174149.3438	165073.4375	186781.6563	171724.2344	161339.0469	163688.0938	296564.25	151325.9375	155542.4063
O00400	O00400	SLC33A1	Acetyl-coenzyme A transporter 1	3199.793945	4180.993652	Filtered	2596.978516	3807.258057	4052.729248	3428.933594	3925.530762	4963.616211	5593.641113	1919.710327
O00401	O00401	WASL	Neural Wiskott-Aldrich syndrome protein	16259.21973	13007.76855	17940.88477	12217.09473	15871.96094	17916.33594	7110.187012	7061.805176	9510.592773	8361.954102	9916.269531
O00408	O00408	PDE2A	"cGMP-dependent 3',5'-cyclic phosphodiesterase"	37580.72656	37342.80469	36385.98828	42091.09766	39209.53906	39261.12109	16110.58496	11811.53711	14214.63672	16300.73926	13047.5791
O00410	O00410	IPO5	Importin-5	204742.4531	211619.2188	204832.9375	201919.1875	214165.1094	225652.3906	201253.8906	201744.0313	227715.5469	208598.0781	207955.2813
O00411	O00411	POLRMT	"DNA-directed RNA polymerase, mitochondrial"	1442.601807	3845.885742	4582.078613	2956.652344	4612.94043	5799.880859	15417.61621	11005.33789	12501.15332	10851.84766	15121.01855
O00422	O00422	SAP18	Histone deacetylase complex subunit SAP18	1	1	1	1	1	1	206543.8281	230482.1563	179554.1719	210259.0625	234429.625
O00423	O00423	EML1	Echinoderm microtubule-associated protein-like 1	54319.97656	52657.21094	56861.16016	54489.33984	55302.63672	55260.76953	41682.88672	47838.37891	40415.37891	44836.72266	45287.67969
O00425	O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	51128.0625	48695.76172	38724.13281	49185.25391	49517.88281	50418.28906	458122.2188	473231.0938	590512.375	555044.9375	563468.6875
O00429	O00429	DNM1L	Dynamin-1-like protein	476492.875	460113.9375	507758.0313	459436.5313	523032.2813	506027.1563	387551.7188	428440.2188	363242.5	407550.9063	433625.125
O00442	O00442	RTCA	RNA 3'-terminal phosphate cyclase	160731.3281	156612.5469	157443.4531	170987.9219	169751.3906	166469.9688	174462.375	208733.2031	228967.8125	241699.0625	231046.5938
O00445	O00445	SYT5	Synaptotagmin-5	186264.125	213322.1406	216464.6875	140565.4375	176865.0156	128841.2734	44866.98438	43547.9375	75909.34375	48237.96094	38491.58984
O00451	O00451	GFRA2	GDNF family receptor alpha-2	7611.622559	11264.98242	7235.311523	9710.529297	9574.418945	7969.193359	5421.945801	3125.093994	5997.447754	4739.742188	3671.053955
O00459	O00459	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	4816.172363	3902.857422	6842.06543	6107.481445	6833.382813	4842.883301	4401.711914	4877.858887	4529.515137	5140.274902	3150.164551
O00461	O00461	GOLIM4	Golgi integral membrane protein 4	Filtered	Filtered	Filtered	Filtered	773.2345581	Filtered	10067.58008	8592.175781	12034.19238	10253.75781	10802.7959
O00462	O00462	MANBA	Beta-mannosidase	10143.72852	11303.10352	9071.631836	9327.578125	10239.05176	9785.210938	22332.80859	22377.28711	21470.55469	24278.10742	23985.14258
O00468	O00468	AGRN	Agrin	94896.53906	114949.0313	94680.42969	89896.92969	87714.23438	78258.65625	141565.7656	120453.7734	142790.9375	123941.1406	123512.6563
O00471	O00471	EXOC5	Exocyst complex component 5	208761.6719	207684.4844	192526.2813	200416.5625	193825.25	189879.7031	143949.5938	149655.8281	138465.2656	141580.1563	138333.5781
O00479	O00479	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1	1	1	1	1	1	33286.35938	6726.659668	54339.45703	5770.74707	1739.558105
O00483	O00483	NDUFA4	Cytochrome c oxidase subunit NDUFA4	137034.875	121754.9063	159229.0938	148466.7813	177503.8438	173906.8906	378697.2188	352250.7813	330965.9688	407273.7813	370914.3438
O00487	O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14	40608.42969	41318.96094	43314.29297	45875.70313	50782.03906	53158.34375	115911.3203	135680.4375	124756.1719	133595.9063	161123.0469
O00499	O00499	BIN1	Myc box-dependent-interacting protein 1	195566.7188	160462.8906	178519.6719	188140.0469	185944.7813	187412.5781	104718.8281	114582.2188	139390.0156	107685.7891	103319.3438
O00505	O00505	KPNA3	Importin subunit alpha-4	59444.03906	34797.89844	33355.07813	35168.88281	40022.50391	40364.875	38836.74219	36165.8125	54066.20703	59172.23828	38385.95313
O00506	O00506	STK25	Serine/threonine-protein kinase 25	8504.246094	10626.12305	8715.745117	10442.51367	10125.9375	9823.291992	15922.09375	12146.53223	14537.02539	15263.8252	17563.72656
O00519	O00519	FAAH	Fatty-acid amide hydrolase 1	20085.58789	19265.97656	20518.85352	20472.33398	29162.03906	20379.12695	24340.30664	22167.39648	22376.4043	23202.39648	21022.95117
O00522	O00522	KRIT1	Krev interaction trapped protein 1	59987.52344	44970.07031	57803.99609	46685.82422	66104.04688	49385.10547	39306.30078	35175.875	48925.32422	30470.30859	29349.38672
O00534	O00534	VWA5A	von Willebrand factor A domain-containing protein 5A	90842.92969	88311.61719	97406.39063	92649.58594	98372.78125	92531.39844	53477.18359	58425.17188	64560.07813	61354.48828	59241.92578
